,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME
323,000300.SH,20110509,3126.26,3149.937,3118.141,3129.759,46027404.0
324,000300.SH,20110510,3135.146,3153.301,3121.746,3153.221,40932995.0
325,000300.SH,20110511,3153.648,3164.65,3127.494,3145.085,47688533.0
326,000300.SH,20110512,3123.158,3142.397,3101.136,3101.603,48799501.0
327,000300.SH,20110513,3105.303,3128.442,3080.19,3128.093,46895951.0
328,000300.SH,20110516,3120.436,3137.604,3098.776,3100.463,45194319.0
329,000300.SH,20110517,3097.071,3136.231,3076.946,3116.028,51203731.0
330,000300.SH,20110518,3109.294,3145.698,3106.552,3139.379,39641768.0
331,000300.SH,20110519,3148.353,3154.935,3118.619,3120.639,43110782.0
332,000300.SH,20110520,3120.579,3133.429,3113.271,3121.596,38468012.0
333,000300.SH,20110523,3115.312,3115.312,3021.45,3022.98,55902472.0
334,000300.SH,20110524,3013.715,3029.746,2999.885,3026.223,41608944.0
335,000300.SH,20110525,3020.323,3030.988,2988.094,2990.343,39289704.0
336,000300.SH,20110526,3011.466,3021.203,2977.596,2978.381,37003747.0
337,000300.SH,20110527,2980.721,2996.605,2962.067,2963.308,42770905.0
338,000300.SH,20110530,2956.575,2982.583,2942.361,2954.506,34671160.0
339,000300.SH,20110531,2958.607,3001.727,2946.146,3001.556,39689399.0
340,000300.SH,20110601,2996.085,3006.556,2985.711,3004.173,38419327.0
341,000300.SH,20110602,2970.634,2984.491,2923.016,2955.705,52617867.0
342,000300.SH,20110603,2951.579,2993.895,2951.201,2986.349,39076164.0
343,000300.SH,20110607,2977.681,3006.569,2974.361,3004.262,36852332.0
344,000300.SH,20110608,3003.581,3012.806,2965.923,3008.652,42908758.0
345,000300.SH,20110609,3000.404,3004.06,2951.889,2951.889,47496636.0
346,000300.SH,20110610,2947.927,2964.079,2925.868,2961.932,42201882.0
347,000300.SH,20110613,2940.391,2957.523,2921.746,2950.348,38351668.0
348,000300.SH,20110614,2947.655,3000.526,2943.531,2993.559,55982815.0
349,000300.SH,20110615,2984.962,2999.15,2963.112,2963.119,44390852.0
350,000300.SH,20110616,2939.681,2946.815,2915.401,2917.578,41135482.0
351,000300.SH,20110617,2916.405,2934.061,2891.015,2892.157,41176530.0
352,000300.SH,20110620,2888.935,2896.081,2862.408,2874.896,37991982.0
353,000300.SH,20110621,2883.354,2909.572,2877.054,2909.073,42038923.0
354,000300.SH,20110622,2913.666,2921.034,2894.178,2908.582,37318802.0
355,000300.SH,20110623,2899.013,2966.54,2888.678,2957.629,45941117.0
356,000300.SH,20110624,2946.609,3047.943,2944.051,3027.47,85459240.0
357,000300.SH,20110627,3028.496,3056.023,3019.236,3036.491,65615771.0
